,year,ID,recorder,file_name,region,site,cam_date,day_sample,week,day,rep,plot,shrub_density,cam_ID,photo_rep,animal,RTU,actual_time,time_block,microsite,is_blank,common_name,difference,accuracy
1,2022,89,Mario,DSCF0089,Carrizo,3,21-May,1,1,5,89,1,density,1,89,0,none,19:46,pm,shrub,1,Carnivorous Mammal,-1,TRUE
2,2022,470,Mario,DSCF0376,Carrizo,3,20-May,1,1,4,470,1,density,2,376,0,none,14:03,pm,shrub,1,No CV Result,-1,FALSE
3,2022,728,Mario,DSCF0002,Carrizo,3,17-May,1,1,1,728,2,density,1,2,0,none,14:11,pm,shrub,1,No CV Result,-1,FALSE
4,2022,729,Mario,DSCF0003,Carrizo,3,17-May,1,1,1,729,2,density,1,3,0,none,14:52,pm,shrub,1,No CV Result,-1,FALSE
5,2022,731,Mario,DSCF0005,Carrizo,3,17-May,1,1,1,731,2,density,1,5,0,none,15:41,pm,shrub,1,No CV Result,-1,FALSE
6,2022,742,Mario,DSCF0016,Carrizo,3,17-May,1,1,1,742,2,density,1,16,0,none,22:44,pm,shrub,1,No CV Result,-1,FALSE
7,2022,757,Mario,DSCF0031,Carrizo,3,20-May,1,1,4,757,2,density,1,31,0,none,16:49,pm,shrub,1,Carnivorous Mammal,-1,TRUE
8,2022,761,Mario,DSCF0035,Carrizo,3,20-May,1,1,4,761,2,density,1,35,0,none,22:19,pm,shrub,1,No CV Result,-1,FALSE
9,2022,781,Mario,DSCF0004,Carrizo,3,17-May,1,1,1,781,2,density,2,4,0,none,16:28,pm,shrub,1,American Badger,-1,TRUE
10,2022,786,Mario,DSCF0009,Carrizo,3,18-May,1,1,2,786,2,density,2,9,0,none,15:04,pm,shrub,1,Rodent,-1,TRUE
11,2022,788,Mario,DSCF0011,Carrizo,3,19-May,1,1,3,788,2,density,2,11,0,none,14:07,pm,shrub,1,Sand Partridge,-1,TRUE
12,2022,790,Mario,DSCF0013,Carrizo,3,19-May,1,1,3,790,2,density,2,13,0,none,16:37,pm,shrub,1,No CV Result,-1,TRUE
13,2022,802,Mario,DSCF0025,Carrizo,3,21-May,1,1,5,802,2,density,2,25,0,none,21:27,pm,shrub,1,Mammal,-1,TRUE
14,2022,804,Mario,DSCF0027,Carrizo,3,21-May,1,1,5,804,2,density,2,27,0,none,22:47,pm,shrub,1,Animal,-1,TRUE
15,2022,807,Mario,DSCF0030,Carrizo,3,21-May,1,1,5,807,2,density,2,30,0,none,17:54,pm,shrub,1,No CV Result,-1,FALSE
16,2022,825,Mario,DSCF0012,Carrizo,3,18-May,1,1,2,825,1,open,2,12,0,none,15:08,pm,open,1,No CV Result,-1,FALSE
17,2022,844,Mario,DSCF0031,Carrizo,3,22-May,1,1,6,844,1,open,2,31,0,none,15:56,pm,open,1,No CV Result,-1,FALSE
18,2022,853,Mario,DSCF0004,Carrizo,3,17-May,1,1,1,853,2,open,2,4,0,none,14:49,pm,open,1,No CV Result,-1,TRUE
19,2022,854,Mario,DSCF0005,Carrizo,3,17-May,1,1,1,854,2,open,2,5,0,none,16:14,pm,open,1,No CV Result,-1,FALSE
20,2022,862,Mario,DSCF0013,Carrizo,3,19-May,1,1,3,862,2,open,2,13,0,none,15:15,pm,open,1,Animal,-1,FALSE
21,2022,934,Mario,DSCF0061,Carrizo,4,21-May,1,1,5,934,1,density,1,61,0,none,1:27,am,shrub,1,No CV Result,-1,FALSE
22,2022,942,Mario,DSCF0069,Carrizo,4,21-May,1,1,5,942,1,density,1,69,0,none,18:27,pm,shrub,1,Animal,-1,TRUE
23,2022,1038,Mario,DSCF0065,Carrizo,4,19-May,1,1,3,1040,2,density,1,65,0,none,16:09,pm,shrub,1,No CV Result,-1,FALSE
24,2022,1360,Mario,DSCF0230,Carrizo,4,22-May,1,1,6,1362,2,density,2,230,0,none,15:57,pm,shrub,1,No CV Result,-1,FALSE
25,2022,1531,Mario,DSCF0001,Carrizo,4,17-May,1,1,1,1533,1,open,2,1,0,none,5:00,am,open,1,Animal,-1,TRUE
26,2022,1537,Mario,DSCF0007,Carrizo,4,17-May,1,1,1,1539,1,open,2,7,0,none,20:02,pm,open,1,No CV Result,-1,FALSE
27,2022,1557,Mario,DSCF0027,Carrizo,4,21-May,1,1,5,1559,1,open,2,27,0,none,5:33,am,open,1,No CV Result,-1,TRUE
28,2022,1558,Mario,DSCF0028,Carrizo,4,21-May,1,1,5,1560,1,open,2,28,0,none,18:31,pm,open,1,No CV Result,-1,TRUE
29,2022,1578,Mario,DSCF0016,Carrizo,4,18-May,1,1,2,1580,2,open,1,16,0,none,15:40,pm,open,1,No CV Result,-1,FALSE
30,2022,1606,Mario,DSCF0044,Carrizo,4,21-May,1,1,5,1608,2,open,1,44,0,none,15:33,pm,open,1,No CV Result,-1,FALSE
31,2022,1608,Mario,DSCF0046,Carrizo,4,21-May,1,1,5,1610,2,open,1,46,0,none,17:16,pm,open,1,Mammal,-1,FALSE